Table 3.9.4. Price Indexes for Government Consumption Expenditures and Gross Investment
Table 3.9.4. Price Indexes for Government Consumption Expenditures and Gross Investment
"Last Revised on: March 13, 2026 - Next Release Date April 9, 2026"
Line,,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"            Structures",2.455,2.250,2.051,1.724,1.835,2.061,2.079,2.165,2.357,2.337,2.301,2.411,2.612,3.083,3.332,3.227,3.300,3.703,4.680,4.943,4.992,4.767,5.593,5.759,5.736,5.575,5.634,6.068,6.370,6.532,6.556,6.535,6.480,6.613,6.659,6.758,6.781,7.137,7.365,7.849,8.764,9.449,10.379,11.269,13.532,15.247,16.712,17.474,19.172,19.975,23.631,25.547,27.074,28.286,28.694,30.664,31.627,31.700,33.250,34.550,37.142,38.277,39.438,40.249,42.644,44.159,46.072,47.304,48.784,50.144,52.156,54.422,56.619,58.093,59.899,63.308,69.204,75.525,80.538,84.249,83.025,82.527,84.970,87.263,90.053,93.208,94.381,96.499,100.000,104.462,107.165,109.068,119.573,131.878,136.737,140.600,146.294
21,"            Equipment",19.984,18.618,16.725,16.885,15.516,17.116,18.211,17.649,19.962,20.301,20.249,19.721,22.507,19.190,18.826,17.446,16.012,17.965,20.408,21.703,22.279,23.109,24.725,25.020,24.296,24.836,25.697,27.944,29.491,29.763,30.348,30.348,30.832,31.197,31.465,31.371,31.558,31.873,32.357,33.033,34.521,36.929,38.901,57.501,56.138,56.505,58.738,63.515,67.456,72.900,74.800,79.190,85.407,91.566,95.476,97.340,94.842,89.120,85.164,85.042,86.050,87.737,88.734,90.331,93.088,96.397,98.605,99.058,96.452,95.352,96.566,95.543,93.588,92.402,93.139,93.603,94.472,94.784,95.211,96.758,97.536,98.191,100.170,100.408,100.287,100.745,100.156,100.105,100.000,100.523,101.264,101.565,103.929,110.009,112.486,115.028,117.899
22,"            Intellectual property products",10.585,9.767,9.614,9.385,8.894,9.300,8.921,9.380,9.721,9.657,9.402,9.189,9.202,10.492,11.886,13.917,13.762,14.005,15.285,15.787,15.868,16.256,17.604,17.979,18.221,18.202,18.571,19.193,19.642,20.096,20.416,20.638,20.764,20.856,20.860,21.084,21.050,21.178,21.303,21.845,22.699,23.929,25.180,25.999,27.479,30.139,32.617,34.204,36.032,38.111,40.924,44.744,48.720,52.144,54.425,56.550,57.719,58.491,59.451,61.890,63.584,64.917,66.881,67.848,69.127,70.403,73.247,73.968,75.450,76.072,77.593,80.031,80.364,80.432,81.499,83.007,84.779,86.289,88.315,90.662,90.317,92.029,94.551,95.893,96.616,98.252,98.926,98.428,100.000,101.894,102.527,103.593,105.362,110.094,111.219,113.497,116.558
23,"                Software",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,57.557,58.462,58.509,59.244,60.930,61.934,63.000,63.613,65.807,67.308,70.631,71.526,72.093,74.738,79.525,84.501,86.379,89.503,89.958,94.411,99.472,105.192,109.535,110.284,111.357,111.431,110.107,110.867,112.327,110.899,110.246,112.116,107.853,109.157,108.174,109.901,108.827,107.334,105.701,107.417,110.590,111.205,110.553,108.939,107.922,108.034,108.528,108.564,109.591,108.672,106.307,106.362,105.168,104.313,103.386,102.319,101.146,100.000,98.042,96.780,94.800,92.527,91.295,91.446,92.461,91.191
24,"                Research and development",9.452,8.722,8.585,8.381,7.942,8.304,7.966,8.376,8.681,8.623,8.396,8.205,8.217,9.369,10.614,12.427,12.289,12.506,13.649,14.097,14.169,14.516,15.719,16.054,16.270,16.253,16.583,17.138,17.539,17.945,18.230,18.431,18.543,18.626,18.628,18.827,18.794,18.907,19.018,19.500,20.267,21.368,22.508,23.256,24.595,27.007,29.252,30.713,32.381,34.338,36.919,40.457,44.133,47.316,49.494,51.521,52.659,53.465,54.384,56.752,58.552,59.972,61.893,63.297,64.559,66.042,68.973,69.874,71.673,72.556,74.055,76.407,76.707,76.848,78.140,79.840,81.723,83.296,85.465,87.902,87.616,89.735,92.525,94.180,95.120,97.158,98.135,97.773,100.000,102.994,104.235,106.292,109.458,116.443,117.947,120.727,125.667
25,"    Nondefense",6.011,5.648,5.651,5.220,5.323,5.740,5.715,6.364,6.427,6.530,6.381,6.171,6.455,7.320,7.657,8.016,8.260,9.380,9.371,9.147,9.697,9.545,10.348,10.895,11.311,11.423,11.815,11.941,12.451,13.095,13.374,13.474,13.864,14.181,14.453,15.040,15.353,15.808,16.072,16.902,17.807,19.435,20.938,21.921,23.259,25.013,27.411,28.935,30.477,32.179,34.353,37.286,40.574,43.034,44.065,45.814,47.327,48.109,48.415,50.179,51.695,53.079,55.584,56.548,58.565,60.335,62.496,63.538,64.698,65.560,67.112,69.339,70.576,72.735,75.221,77.770,80.461,82.573,84.879,87.023,87.637,90.094,92.262,92.927,94.308,96.287,96.968,97.897,100.000,102.968,104.767,105.499,108.518,114.050,118.857,121.953,129.711
26,"        Consumption expenditures",4.270,3.992,4.109,3.939,3.838,4.082,4.013,4.626,4.658,4.768,4.646,4.438,4.609,5.327,5.772,5.928,6.236,7.225,7.123,6.852,7.370,7.223,7.822,8.284,8.677,8.827,9.176,9.199,9.586,10.220,10.467,10.536,10.968,11.279,11.568,12.229,12.672,13.220,13.446,14.335,15.179,16.826,18.306,19.221,20.433,21.740,23.866,25.315,26.697,28.227,30.024,32.496,35.371,37.473,38.291,39.977,41.532,42.291,42.403,44.005,45.311,46.555,49.283,50.387,52.595,54.486,56.582,57.906,59.275,60.401,62.205,64.598,66.074,68.946,72.024,74.968,77.971,80.399,83.047,85.278,86.096,88.798,91.133,91.751,93.327,95.442,96.400,97.611,100.000,103.370,105.478,106.330,109.821,115.412,121.379,125.096,134.966
27,"        Gross investment",12.503,11.948,11.091,9.547,10.490,11.614,11.760,12.233,12.477,12.365,12.212,12.458,13.302,14.438,13.961,15.817,15.104,15.187,16.566,17.439,17.445,17.349,18.860,19.571,19.749,19.282,19.405,20.389,21.308,21.614,21.977,22.198,22.284,22.553,22.747,23.157,23.183,23.507,23.879,24.645,25.775,27.410,28.984,30.162,31.873,35.080,38.294,40.004,42.021,44.246,47.581,51.936,56.489,60.056,61.785,63.619,64.872,65.674,66.649,68.888,71.043,72.841,74.592,75.117,76.543,77.925,80.262,80.457,80.982,81.059,81.923,83.711,84.242,84.247,84.931,86.261,87.988,89.128,90.397,92.275,92.254,93.937,95.603,96.406,97.198,98.756,98.599,98.699,100.000,101.892,102.891,103.319,105.146,110.510,112.580,114.178,116.930
28,"            Structures",3.657,3.495,3.186,2.656,2.997,3.377,3.312,3.572,3.740,3.764,3.702,3.699,3.853,3.975,4.154,4.421,4.646,3.253,6.530,7.077,7.009,6.841,7.515,7.889,8.014,7.845,7.849,8.497,9.007,9.015,8.956,8.922,8.984,9.136,9.291,9.480,9.753,10.111,10.490,10.998,11.764,12.707,13.778,14.763,15.791,17.790,20.188,21.144,22.314,23.888,26.217,29.229,32.080,34.219,35.022,35.861,36.729,37.707,38.776,39.900,41.362,42.783,43.653,44.025,45.155,46.756,48.585,49.839,51.478,53.069,54.980,57.159,59.261,60.548,62.140,65.487,71.792,77.609,82.311,86.078,86.199,85.604,88.037,90.723,92.661,95.021,96.579,97.445,100.000,104.151,108.229,110.492,116.751,132.468,140.463,142.368,145.952
29,"            Equipment",46.394,45.742,46.357,46.078,43.912,44.317,50.491,46.534,42.413,39.602,39.832,44.154,50.376,57.395,48.401,57.060,48.447,46.596,49.207,49.062,50.799,52.196,54.807,56.116,55.200,51.699,51.760,51.168,53.509,55.634,67.317,74.332,72.856,76.213,79.681,86.892,79.296,79.988,84.118,88.456,90.113,100.509,104.756,105.983,108.348,116.214,127.323,131.275,135.564,134.667,140.006,145.676,154.417,158.557,155.067,152.490,151.362,151.490,149.565,151.517,155.028,157.884,156.877,154.183,153.363,151.743,149.068,141.241,134.312,126.802,121.121,118.016,113.777,109.771,107.496,106.456,105.801,103.900,100.258,97.907,96.728,96.847,97.508,97.917,97.509,98.349,99.085,99.146,100.000,101.357,102.789,102.987,107.276,116.320,121.248,124.262,129.708
