GEOID_FIN,federal_transfers_real_2017,POPULATION,ID_NAME,STATE_FIPS,COUNTY_FIPS,tax_revenue_real_2017,B_B01,B_B21,B_B30,B_B42,B_B46,B_B50,B_B59,B_B79,B_B80,B_B89,T_T01,T_T09,T_T10,T_T11,T_T13,T_T16,T_T19,T_T20,T_T21,T_T22,T_T27,T_T28,T_T29,YEAR,decade,federal_transfers_pc,tax_revenue_pc,log_transfers_pc,log_tax_pc
0241720,73000.0,626.0,KOTLIK CITY,02,158,125000.0,,,73000.0,,,,,,,,,125000.0,,,,,,,,,,,,2017,2010,116.61341853035144,199.68051118210863,4.758864349030429,5.29671864518434
0241830,62000.0,3277.0,KOTZEBUE CITY,02,188,3897000.0,,,,,,,,,,62000.0,,3198000.0,177000.0,,,360000.0,81000.0,,,,,,81000.0,2017,2010,18.919743667989014,1189.1974366798902,2.940206015328414,7.081033935622032
0242050,13000.0,95.0,KOYUKUK CITY,02,290,,,,13000.0,,,,,,,,,,,,,,,,,,,,,2017,2010,136.8421052631579,,4.918827744843133,
0242160,4000.0,27.0,KUPREANOF CITY,02,195,,,,4000.0,,,,,,,,,,,,,,,,,,,,,2017,2010,148.14814814814815,,4.9982127740976985,
0242380,61000.0,760.0,KWETHLUK CITY,02,050,76000.0,,,61000.0,,,,,,,,,76000.0,,,,,,,,,,,,2017,2010,80.26315789473684,100.0,4.385310709875071,4.605170185988092
0245460,20000.0,297.0,LOWER KALSKAG CITY,02,050,,,,20000.0,,,,,,,,,,,,,,,,,,,,,2017,2010,67.34006734006734,,4.209755413733428,
0246010,50000.0,344.0,MCGRATH CITY,02,290,,,,50000.0,,,,,,,,,,,,,,,,,,,,,2017,2010,145.34883720930233,,4.979136627036885,
0246890,84000.0,456.0,MANOKOTAK CITY,02,070,16000.0,,,49000.0,,,,,,,35000.0,,16000.0,,,,,,,,,,,,2017,2010,184.21052631578948,35.08771929824562,5.216079268311065,3.5578511917075324
0247000,45000.0,449.0,MARSHALL CITY,02,158,111000.0,,,45000.0,,,,,,,,,111000.0,,,,,,,,,,,,2017,2010,100.22271714922049,247.2160356347439,4.607394881010203,5.510262592552217
0247990,15000.0,202.0,MEKORYUK CITY,02,050,35000.0,,,15000.0,,,,,,,,,35000.0,,,,,,,,,,,,2017,2010,74.25742574257426,173.26732673267327,4.307537782683142,5.154835643070346
0252390,29000.0,373.0,NAPAKIAK CITY,02,050,82000.0,,,29000.0,,,,,,,,,82000.0,,,,,,,,,,,,2017,2010,77.7479892761394,219.8391420911528,4.3534726893247955,5.392896106602574
0252720,34000.0,427.0,NAPASKIAK CITY,02,050,21000.0,,,34000.0,,,,,,,,,21000.0,,,,,,,,,,,,2017,2010,79.62529274004685,49.18032786885246,4.377331790369674,3.8954937034769355
0253050,957000.0,376.0,NENANA CITY,02,290,305000.0,,957000.0,,,,,,,,,228000.0,77000.0,,,,,,,,,,,,2017,2010,2545.2127659574467,811.1702127659574,7.841969527045197,6.698477912199654
0253270,9000.0,182.0,NEWHALEN CITY,02,164,,,,,9000.0,,,,,,,,,,,,,,,,,,,,2017,2010,49.45054945054945,,3.9009731692415612,
0253930,21000.0,295.0,NIGHTMUTE CITY,02,050,8000.0,,,21000.0,,,,,,,,,8000.0,,,,,,,,,,,,2017,2010,71.1864406779661,27.11864406779661,4.26530236036574,3.3002214643221532
0254150,134000.0,93.0,NIKOLAI CITY,02,290,44000.0,,134000.0,,,,,,,,,18000.0,25000.0,,,,,,,,,,,1000.0,2017,2010,1440.8602150537633,473.1182795698925,7.2729955857797925,6.159345419747142
0254920,492000.0,3806.0,NOME CITY,02,180,8842000.0,,457000.0,,1000.0,34000.0,,,,,,3180000.0,5081000.0,,,,,149000.0,,,,,366000.0,66000.0,2017,2010,129.26957435627955,2323.173935890699,4.86189994761835,7.750689605512231
0255030,201000.0,157.0,NONDALTON CITY,02,164,66000.0,,201000.0,,,,,,,,,27000.0,38000.0,,,,,,,,,,,1000.0,2017,2010,1280.2547770700637,420.38216560509557,7.154814381692905,6.041164215660254
0255910,78000.0,2189.0,NORTH POLE CITY,02,090,3641000.0,,,,,78000.0,,,,,,369000.0,2963000.0,220000.0,,,,,,,,,19000.0,70000.0,2017,2010,35.63270899954317,1663.3165829145728,3.573264008148866,7.416568829634707
0256600,310000.0,203.0,NUNAM IQUA CITY,02,158,101000.0,,310000.0,,,,,,,,,41000.0,58000.0,,,,,,,,,,,2000.0,2017,2010,1527.0935960591132,497.53694581280786,7.331121597419542,6.209669816781609
0257340,337000.0,221.0,OLD HARBOR CITY,02,150,110000.0,,337000.0,,,,,,,,,45000.0,63000.0,,,,,,,,,,,2000.0,2017,2010,1524.8868778280544,497.73755656108597,7.329675507816746,6.2100729432568
0258660,273000.0,6788.0,PALMER CITY,02,170,8116000.0,178000.0,,,,,,,,,95000.0,1215000.0,6584000.0,,,,,,,,,,107000.0,210000.0,2017,2010,40.21803182086034,1195.639363582793,3.6943154478129796,7.086436353573726
